,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
28252,PG35467,"The Tenants of Malory, Volume 1","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],101,{'Mystery fiction'}
74841,PG9502,The Room in the Dragon Volant,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],187,"{'British -- France -- Paris -- Fiction', 'France -- History -- 19th century -- Fiction', 'Horror tales'}"
1785,PG11610,Madam Crowl's Ghost and the Dead Sexton,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],239,{'Ghost stories'}
2875,PG12592,"J. S. Le Fanu's Ghostly Tales, Volume 5","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],124,{'Ghost stories'}
2936,PG12647,"J. S. Le Fanu's Ghostly Tales, Volume 4","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],145,{'Ghost stories'}
5385,PG14851,Uncle Silas: A Tale of Bartram-Haugh,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],377,"{'Gothic fiction', 'Psychological fiction', 'Governesses -- Fiction', 'Uncles -- Fiction', 'Orphans -- Fiction', 'Murderers -- Fiction'}"
1885,PG11700,"J. S. Le Fanu's Ghostly Tales, Volume 2","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],134,{'Ghost stories'}
28254,PG35469,"The Tenants of Malory, Volume 3","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],118,{'Mystery fiction'}
3137,PG12828,Two Ghostly Mysteries: A Chapter in the History of a Tyrone Family; and the Murdered Cousin,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],179,"{'Ireland -- Fiction', 'Ghost stories'}"
1940,PG11750,"J. S. Le Fanu's Ghostly Tales, Volume 3: The Haunted Baronet (1871)","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],158,{'Ghost stories'}
31577,PG38460,Checkmate,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],286,"{'England -- Fiction', 'Gothic fiction', 'Inheritance and succession -- Fiction'}"
33856,PG40510,"The Watcher, and other weird stories","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],219,"{'Ireland -- Fiction', 'Fantasy fiction, English', 'Horror tales, English'}"
54,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1132,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
87,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],244,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74074,PG8789,"The vision of hell.: By Dante Alighieri.; Translated by Rev. Henry Francis Cary, M.A.; and illustrated with the seventy-five designs of Gustave Doré.",Dante Alighieri,1265.0,1321.0,['en'],904,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
3180,PG12867,The Banquet (Il Convito),Dante Alighieri,1265.0,1321.0,['en'],162,{'Philosophy'}
74088,PG8800,The divine comedy,Dante Alighieri,1265.0,1321.0,['en'],12454,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74063,PG8779,"The Divine Comedy by Dante, Illustrated, Hell, Volume 01",Dante Alighieri,1265.0,1321.0,['en'],337,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74066,PG8781,"The Divine Comedy by Dante, Illustrated, Hell, Volume 03",Dante Alighieri,1265.0,1321.0,['en'],157,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74081,PG8795,"The Divine Comedy by Dante, Illustrated, Purgatory, Complete",Dante Alighieri,1265.0,1321.0,['en'],1223,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
65,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],218,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74079,PG8793,"The Divine Comedy by Dante, Illustrated, Purgatory, Volume 4",Dante Alighieri,1265.0,1321.0,['en'],186,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74069,PG8784,"The Divine Comedy by Dante, Illustrated, Hell, Volume 06",Dante Alighieri,1265.0,1321.0,['en'],162,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74072,PG8787,"The Divine Comedy by Dante, Illustrated, Hell, Volume 09",Dante Alighieri,1265.0,1321.0,['en'],150,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74076,PG8790,"The Divine Comedy by Dante, Illustrated, Purgatory, Volume 1",Dante Alighieri,1265.0,1321.0,['en'],142,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74065,PG8780,"The Divine Comedy by Dante, Illustrated, Hell, Volume 02",Dante Alighieri,1265.0,1321.0,['en'],217,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74084,PG8798,"The Divine Comedy by Dante, Illustrated, Paradise, Volume 3",Dante Alighieri,1265.0,1321.0,['en'],175,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
11057,PG1997,"The Divine Comedy, Volume 3, Paradise",Dante Alighieri,1265.0,1321.0,['en'],193,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
43,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],526,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
34996,PG41537,The Divine Comedy of Dante Alighieri: The Inferno,Dante Alighieri,1265.0,1321.0,['en'],2996,"{'Hell', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
76,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],192,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
21,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],4107,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
11035,PG1995,"The Divine Comedy, Volume 1, Hell",Dante Alighieri,1265.0,1321.0,['en'],355,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74073,PG8788,"The Divine Comedy by Dante, Illustrated, Hell, Volume 10",Dante Alighieri,1265.0,1321.0,['en'],133,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74071,PG8786,"The Divine Comedy by Dante, Illustrated, Hell, Volume 08",Dante Alighieri,1265.0,1321.0,['en'],174,"{'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74083,PG8797,"The Divine Comedy by Dante, Illustrated, Paradise, Volume 2",Dante Alighieri,1265.0,1321.0,['en'],178,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
74085,PG8799,"The Divine Comedy by Dante, Illustrated, Paradise, Complete",Dante Alighieri,1265.0,1321.0,['en'],742,"{'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English'}"
47460,PG52755,"Uncle Sam's Boys on Field Duty; or, Winning Corporal's Chevrons","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],91,{'United States. Army -- Juvenile fiction'}
14907,PG23447,"Uncle Sam's Boys in the Philippines; or, Following the Flag against the Moros","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],121,"{'Philippines -- Juvenile fiction', 'United States. Army -- Fiction'}"
3026,PG12728,The High School Boys' Canoe Club,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],86,{'Canoes and canoeing -- Juvenile fiction'}
2985,PG12691,"The High School Left End; or, Dick & Co. Grilling on the Football Gridiron","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],80,"{'High school students -- Juvenile fiction', 'Football -- Juvenile fiction'}"
35097,PG41628,"Dave Darrin and the German Submarines: Or, Making a Clean-up of the Hun Sea Monsters","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],149,"{'United States. Navy -- Juvenile fiction', 'World War, 1914-1918 -- Juvenile fiction', 'Submarines (Ships) -- Germany -- Juvenile fiction'}"
73369,PG8153,"The Young Engineers in Arizona; or, Laying Tracks on the Man-killer Quicksand","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],180,"{'Western stories', 'Outlaws -- Fiction', 'Civil engineers -- Fiction', 'Arizona -- Fiction'}"
4849,PG14369,"The Young Engineers on the Gulf: Or, The Dread Mystery of the Million Dollar Breakwater","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],110,"{'Civil engineers -- Juvenile fiction', 'Detective and mystery stories', 'Gulf Coast (Ala.) -- Juvenile fiction'}"
11955,PG20789,"The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],246,{'Snow camping -- Juvenile fiction'}
2982,PG12689,"The High School Freshmen; or, Dick & Co.'s First Year Pranks and Sports","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],101,"{'Sports -- Juvenile fiction', 'High school students -- Juvenile fiction'}"
353,PG10319,"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],89,{'United States Naval Academy -- Juvenile fiction'}
3114,PG12807,"Dick Prescott's Fourth Year at West Point: Or, Ready to Drop the Gray for Shoulder Straps","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],147,"{'Military cadets -- United States -- Juvenile fiction', 'United States Military Academy -- Juvenile fiction', 'College stories'}"
3113,PG12806,"Dick Prescott's Third Year at West Point; Or, Standing Firm for Flag and Honor","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],98,"{'Military cadets -- United States -- Juvenile fiction', 'United States Military Academy -- Juvenile fiction', 'College stories'}"
49,PG10045,"Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],96,{'United States Naval Academy -- Juvenile fiction'}
3030,PG12731,The High School Boys' Training Hike,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],92,{'Hiking -- Juvenile fiction'}
20459,PG28449,"The Motor Boat Club and The Wireless; Or, the Dot, Dash and Dare Cruise","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],141,"{'Telegraph -- Juvenile fiction', 'Motorboats -- Juvenile fiction'}"
3077,PG12774,Dave Darrin's First Year at Annapolis: Two Plebe Midshipmen at the United States Naval Academy,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],86,{'United States Naval Academy -- Juvenile fiction'}
19605,PG27680,"Uncle Sam's Boys in the Ranks; or, Two Recruits in the United States Army","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],157,{'United States. Army -- Juvenile fiction'}
3079,PG12776,Dave Darrin at Vera Cruz: Fighting with the U.S. Navy in Mexico,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],67,"{'Veracruz (Veracruz-Llave, Mexico) -- Juvenile fiction', 'United States. Navy -- Juvenile fiction'}"
42686,PG48459,"The Motor Boat Club in Florida; or, Laying the Ghost of Alligator Swamp","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],86,"{'Florida -- Juvenile fiction', 'Motorboats -- Juvenile fiction'}"
43322,PG49030,"The Motor Boat Club at the Golden Gate; or, A Thrilling Capture in the Great Fog","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],79,"{'Golden Gate (Calif. : Strait) -- Juvenile fiction', 'Motorboats -- Juvenile fiction'}"
3081,PG12778,"The Young Engineers in Mexico; Or, Fighting the Mine Swindlers","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],83,"{'Civil engineers -- Juvenile fiction', 'Mexico -- Juvenile fiction'}"
60247,PG6426,"Dick Prescott's First Year at West Point; Or, Two Chums in the Cadet Gray","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],149,"{'Military cadets -- United States -- Juvenile fiction', 'United States Military Academy -- Juvenile fiction', 'College stories'}"
3027,PG12729,The High School Boys in Summer Camp,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],122,{'Camps -- Juvenile fiction'}
3029,PG12730,The High School Boys' Fishing Trip,"Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],115,{'Fishing -- Juvenile fiction'}
19603,PG27679,"Uncle Sam's Boys as Sergeants; or, Handling Their First Real Commands","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],130,{'United States. Army -- Juvenile fiction'}
39675,PG45749,A Change of Air,"Hope, Anthony",1863.0,1933.0,['en'],151,"{'Country homes -- Fiction', 'Fame -- Fiction', 'Poets -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}"
20996,PG28935,Captain Dieppe,"Hope, Anthony",1863.0,1933.0,['en'],90,"{'Mistaken identity -- Fiction', 'Soldiers of fortune -- Fiction'}"
34062,PG40697,"Sport Royal, and Other Stories","Hope, Anthony",1863.0,1933.0,['en'],96,"{'English fiction -- 19th century', 'Short stories, English'}"
35758,PG42222,Double Harness,"Hope, Anthony",1863.0,1933.0,['en'],76,"{'England -- Social life and customs -- Fiction', 'Marriage -- Fiction'}"
29816,PG36876,Helena's Path,"Hope, Anthony",1863.0,1933.0,['en'],95,"{'England -- Social life and customs -- Fiction', 'Right of way -- Fiction', 'Love stories'}"
35313,PG41822,Phroso: A Romance,"Hope, Anthony",1863.0,1933.0,['en'],98,"{'British -- Foreign countries -- Fiction', 'Adventure stories', 'Islands -- Fiction', 'Love stories'}"
5278,PG14755,Father Stafford,"Hope, Anthony",1863.0,1933.0,['en'],78,"{'England -- Social life and customs -- Fiction', 'Mate selection -- Fiction', 'Clergy -- Fiction'}"
34886,PG41438,The Heart of Princess Osra,"Hope, Anthony",1863.0,1933.0,['en'],138,"{'Love -- Fiction', 'Short stories', 'Princesses -- Fiction', 'Adventure stories'}"
63997,PG67645,Dialogue,"Hope, Anthony",1863.0,1933.0,['en'],76,"{'English literature -- History and criticism', 'Dialogue'}"
42890,PG48642,A Servant of the Public,"Hope, Anthony",1863.0,1933.0,['en'],111,"{'Man-woman relationships -- Fiction', 'Lawyers -- Fiction', 'Actresses -- Fiction', 'England -- Social life and customs -- Fiction', 'Superficiality -- Fiction'}"
62,PG10057,The Secret of the Tower,"Hope, Anthony",1863.0,1933.0,['en'],155,"{'World War, 1914-1918 -- Veterans -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Women physicians -- Fiction', 'Mystery fiction'}"
33922,PG40570,The Chronicles of Count Antonio,"Hope, Anthony",1863.0,1933.0,['en'],89,"{'Nobility -- Fiction', 'Love stories', 'Italy -- Fiction', 'Adventure stories', 'Outlaws -- Fiction'}"
12168,PG20981,Tristram of Blent: An Episode in the Story of an Ancient House,"Hope, Anthony",1863.0,1933.0,['en'],194,"{'Young men -- Fiction', 'England -- Social life and customs -- Fiction', 'Inheritance and succession -- Fiction'}"
33749,PG40414,Sophy of Kravonia: A Novel,"Hope, Anthony",1863.0,1933.0,['en'],149,"{'British -- Foreign countries -- Fiction', 'Adventure stories'}"
53814,PG58478,Index of the Project Gutenberg Works of Anthony Hope,"Hope, Anthony",1863.0,1933.0,['en'],92,{'Indexes'}
2262,PG1203,Dolly Dialogues,"Hope, Anthony",1863.0,1933.0,['en'],185,"{'Manners and customs -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}"
13512,PG22191,Half a Hero: A Novel,"Hope, Anthony",1863.0,1933.0,['en'],114,{'Political fiction'}
4338,PG13909,"The Indiscretion of the Duchess: Being a Story Concerning Two Ladies, a Nobleman, and a Necklace","Hope, Anthony",1863.0,1933.0,['en'],119,"{'Jewelry -- Fiction', 'British -- France -- Fiction', 'Conduct of life -- Fiction'}"
36510,PG428,Frivolous Cupid,"Hope, Anthony",1863.0,1933.0,['en'],124,"{'Man-woman relationships -- Fiction', 'Short stories, English'}"
11444,PG20328,Simon Dale,"Hope, Anthony",1863.0,1933.0,['en'],178,"{'Great Britain -- History -- Charles II, 1660-1685 -- Fiction'}"
35064,PG41599,Mr. Witt's Widow: A Frivolous Tale,"Hope, Anthony",1863.0,1933.0,['en'],83,{'England -- Social life and customs -- Fiction'}
41420,PG47319,The Intrusions of Peggy,"Hope, Anthony",1863.0,1933.0,['en'],119,"{'Widows -- Fiction', 'London (England) -- Social life and customs -- Fiction', 'Female friendship -- Fiction'}"
36714,PG43083,A Young Man's Year,"Hope, Anthony",1863.0,1933.0,['en'],63,"{'Young men -- Fiction', 'England -- Social life and customs -- Fiction', 'Lawyers -- Fiction', 'Man-woman relationships -- Fiction'}"
74949,PG95,The prisoner of Zenda,"Hope, Anthony",1863.0,1933.0,['en'],1043,"{'Political kidnapping -- Fiction', 'Impostors and imposture -- Fiction', 'Love stories', 'British -- Foreign countries -- Fiction', 'Adventure stories', 'Kings and rulers -- Fiction'}"
16615,PG24985,Comedies of Courtship,"Hope, Anthony",1863.0,1933.0,['en'],134,"{'Short stories', 'Love stories'}"
53854,PG58513,Mary Louise Adopts a Soldier,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],133,"{'Humanitarianism -- Juvenile fiction', 'World War, 1914-1918 -- Juvenile fiction', 'Brigands and robbers -- Juvenile fiction', 'Mistaken identity -- Juvenile fiction', 'Mystery and detective stories'}"
35622,PG420,Dorothy and the Wizard in Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],375,"{'Fantasy literature', 'Ranches -- Juvenile fiction', 'Nephews -- Juvenile fiction', 'Piglets -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Mountains -- Juvenile fiction', 'Trials -- Juvenile fiction', 'Earthquakes -- Juvenile fiction', 'Kittens -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Cats -- Juvenile fiction', 'Dragons -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
50617,PG55597,Sam Steele's Adventures on Land and Sea,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],102,"{'Alaska -- Juvenile fiction', 'Adventure stories'}"
64,PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],134,"{'Young women -- Social life and customs -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Mystery and detective stories'}"
44615,PG50194,The Magic of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],622,"{'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Kings and rulers -- Juvenile fiction', 'Islands -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Revenge -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Cats -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Princesses -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Birthdays -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
46817,PG52176,Tik-Tok of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],561,"{'Fantasy literature', 'Mules -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Brothers -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Dragons -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
49562,PG54647,Sam Steele's Adventures in Panama,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],148,"{'Inventions -- Juvenile fiction', 'Panama -- Juvenile fiction', 'Adventure stories'}"
55567,PG60055,The Boy Fortune Hunters in Alaska,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],96,"{'Treasure troves -- Juvenile fiction', 'Alaska -- Juvenile fiction'}"
74971,PG961,"Glinda of Oz: In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good","Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],261,"{'Fantasy literature', 'Tribes -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'War stories', 'Adventure and adventurers -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
48501,PG53692,The Flying Girl and Her Chum,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],94,"{'Robinsonades', 'Brigands and robbers -- Juvenile fiction', 'Seaplanes -- Juvenile fiction', 'Yachts -- Juvenile fiction', 'Women air pilots -- Juvenile fiction'}"
35510,PG419,The Magic of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],339,"{'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Kings and rulers -- Juvenile fiction', 'Islands -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Revenge -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Cats -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Princesses -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Birthdays -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
16031,PG24459,The Lost Princess of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],383,"{'Fantasy literature', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Magicians -- Juvenile fiction', 'Princesses -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Household employees -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Theft -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
74915,PG956,Tik-Tok of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],258,"{'Fantasy literature', 'Mules -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Brothers -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Dragons -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
7289,PG16566,Aunt Jane's Nieces Abroad,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],211,"{'Family -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Brigands and robbers -- Juvenile fiction', 'Italy -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Americans -- Italy -- Juvenile fiction'}"
42843,PG485,The Road to Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],257,"{'Fantasy literature', 'Kings and rulers -- Juvenile fiction', 'Farms -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Magic -- Juvenile fiction'}"
